Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
4768,I Wanna Be Yours,Arctic Monkeys,1,12859,110,1297026226.0,24,98,582,2,73.0,135,Unknown,Minor,2013-01-01,48.0,44.0,42.0,12.0,2.0,11.0,3.0,20.983339963356148,True,0.89
2457,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,2023-05-31,86.0,86.0,79.0,11.0,0.0,8.0,9.0,19.117058809577617,False,0.01
2457,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,2023-05-31,85.0,81.0,67.0,26.0,0.0,12.0,5.0,19.117058809577617,False,0.01
2457,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,2023-05-31,43.0,28.0,66.0,0.0,1.6225165562913908,23.0,3.0,19.117058809577617,False,0.01
2491,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,1945,87,115364561.0,74,182,87,14,1093.0,99,C#,Major,2023-06-02,85.0,83.0,68.0,7.0,1.6225165562913908,36.0,20.0,18.563607776488762,False,0.05
2505,SABOR FRESA,Fuerza Regida,1,250,26,78300654.0,16,149,10,5,168.0,130,G,Minor,2023-06-22,79.0,96.0,86.0,9.0,0.0,9.0,9.0,18.176066526187856,False,0.01
4912,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,7112,77,899183384.0,202,119,318,38,96.0,107,B,Major,2022-03-25,80.0,82.0,80.0,43.0,0.0,14.0,4.0,20.6169975593974,True,0.7
4128,MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289.0,35,109,41,14,211.0,122,F#,Minor,2023-06-29,81.0,74.0,71.0,14.0,0.0,56.0,4.0,17.930397506473128,False,0.01
4128,MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289.0,35,109,41,14,211.0,122,F#,Minor,2023-06-29,53.0,47.0,74.0,9.0,0.0,34.0,4.0,17.930397506473128,False,0.02
4756,Last Night,Morgan Wallen,1,2420,19,429829812.0,52,107,15,1,325.0,204,F#,Major,2023-01-31,52.0,52.0,68.0,46.0,0.0,15.0,4.0,19.878899904587904,False,0.02
